reading,voltage,LED_temp,photo_temp,mode,concentration
0.0,0.05310345,23.93175,23.02209,none,10
2.5e-06,0.05310345,23.93175,23.02209,none,10
5e-06,0.05272413,23.93175,23.02209,none,10
7.5e-06,0.05272413,23.93175,23.02209,none,10
1e-05,0.05272413,23.93175,23.02209,none,10
1.25e-05,0.05360919,23.93175,23.02209,none,10
1.5e-05,0.05285057,23.93175,23.02209,none,10
1.75e-05,0.05285057,23.93175,23.02209,none,10
2e-05,0.05285057,23.93175,23.02209,none,10
2.25e-05,0.05335632,23.93175,23.02209,none,10
2.5e-05,0.05335632,23.93175,23.02209,none,10
2.75e-05,0.05297701,23.93175,23.02209,none,10
3e-05,0.05297701,23.93175,23.02209,none,10
3.25e-05,0.05348276,23.93175,23.02209,none,10
3.5e-05,0.05348276,23.93175,23.02209,none,10
3.75e-05,0.05297701,23.93175,23.02209,none,10
4e-05,0.05297701,23.93175,23.02209,none,10
4.25e-05,0.05348276,23.93175,23.02209,none,10
4.5e-05,0.05310345,23.93175,23.02209,none,10
4.75e-05,0.05310345,23.93175,23.02209,none,10
5e-05,0.9300689,23.72198,23.02209,1550,10
5.25e-05,0.9300689,23.72198,23.02209,1550,10
5.5e-05,0.9300689,23.72198,23.02209,1550,10
5.75e-05,0.924885,23.72198,23.02209,1550,10
6e-05,0.924885,23.72198,23.02209,1550,10
6.25e-05,0.924885,23.72198,23.02209,1550,10
6.5e-05,0.9270345,23.72198,23.02209,1550,10
6.75e-05,0.9270345,23.72198,23.02209,1550,10
7e-05,0.9270345,23.72198,23.02209,1550,10
7.25e-05,0.9140115,23.72198,23.02209,1550,10
7.5e-05,0.9140115,23.72198,23.02209,1550,10
7.75e-05,0.9140115,23.72198,23.02209,1550,10
8e-05,0.9301954,23.72198,23.02209,1550,10
8.25e-05,0.9301954,23.72198,23.02209,1550,10
8.5e-05,0.9301954,23.72198,23.02209,1550,10
8.75e-05,0.9224828,23.72198,23.02209,1550,10
9e-05,0.9224828,23.72198,23.02209,1550,10
9.25e-05,0.9229885,23.72198,23.02209,1550,10
9.500001e-05,0.9229885,23.72198,23.02209,1550,10
9.75e-05,0.9229885,23.72198,23.02209,1550,10
0.0001,0.9272873,23.72198,23.02209,1550,10
0.0001025,0.9272873,23.72198,23.02209,1550,10
0.000105,0.9272873,23.72198,23.02209,1550,10
0.0001075,0.923115,23.72198,23.02209,1550,10
0.00011,0.923115,23.72198,23.02209,1550,10
0.0001125,0.923115,23.72198,23.02209,1550,10
0.000115,0.9178046,23.72198,23.02209,1550,10
0.0001175,0.9178046,23.72198,23.02209,1550,10
0.00012,0.9178046,23.72198,23.02209,1550,10
0.0001225,0.9308275,23.72198,23.02209,1550,10
