reading,voltage,LED_temp,photo_temp,mode,concentration
0.0,0.05348276,24.49091,23.58206,none,30
2.5e-06,0.05348276,24.49091,23.58206,none,30
5e-06,0.05348276,24.49091,23.58206,none,30
7.5e-06,0.05348276,24.49091,23.58206,none,30
1e-05,0.05348276,24.49091,23.58206,none,30
1.25e-05,0.05310345,24.49091,23.58206,none,30
1.5e-05,0.05335632,24.49091,23.58206,none,30
1.75e-05,0.05335632,24.49091,23.58206,none,30
2e-05,0.05335632,24.49091,23.58206,none,30
2.25e-05,0.05322989,24.49091,23.58206,none,30
2.5e-05,0.05322989,24.49091,23.58206,none,30
2.75e-05,0.05335632,24.49091,23.58206,none,30
3e-05,0.05335632,24.49091,23.58206,none,30
3.25e-05,0.05310345,24.49091,23.58206,none,30
3.5e-05,0.05310345,24.49091,23.58206,none,30
3.75e-05,0.05335632,24.49091,23.58206,none,30
4e-05,0.05335632,24.49091,23.58206,none,30
4.25e-05,0.05297701,24.49091,23.58206,none,30
4.5e-05,0.05335632,24.49091,23.58206,none,30
4.75e-05,0.05335632,24.49091,23.58206,none,30
5e-05,0.6967931,24.28131,23.58206,1550,30
5.25e-05,0.6967931,24.28131,23.58206,1550,30
5.5e-05,0.6967931,24.28131,23.58206,1550,30
5.75e-05,0.701977,24.28131,23.58206,1550,30
6e-05,0.701977,24.28131,23.58206,1550,30
6.25e-05,0.701977,24.28131,23.58206,1550,30
6.5e-05,0.7072873,24.28131,23.58206,1550,30
6.75e-05,0.7072873,24.28131,23.58206,1550,30
7e-05,0.7072873,24.28131,23.58206,1550,30
7.25e-05,0.7098161,24.28131,23.58206,1550,30
7.5e-05,0.7098161,24.28131,23.58206,1550,30
7.75e-05,0.7098161,24.28131,23.58206,1550,30
8e-05,0.710954,24.28131,23.58206,1550,30
8.25e-05,0.710954,24.28131,23.58206,1550,30
8.5e-05,0.710954,24.28131,23.58206,1550,30
8.75e-05,0.7026092,24.28131,23.58206,1550,30
9e-05,0.7026092,24.28131,23.58206,1550,30
9.25e-05,0.7105747,24.28131,23.58206,1550,30
9.500001e-05,0.7105747,24.28131,23.58206,1550,30
9.75e-05,0.7105747,24.28131,23.58206,1550,30
0.0001,0.7052644,24.28131,23.58206,1550,30
0.0001025,0.7052644,24.28131,23.58206,1550,30
0.000105,0.7052644,24.28131,23.58206,1550,30
0.0001075,0.705138,24.28131,23.58206,1550,30
0.00011,0.705138,24.28131,23.58206,1550,30
0.0001125,0.705138,24.28131,23.58206,1550,30
0.000115,0.7108276,24.28131,23.58206,1550,30
0.0001175,0.7108276,24.28131,23.58206,1550,30
0.00012,0.7033678,24.28131,23.58206,1550,30
0.0001225,0.7033678,24.28131,23.58206,1550,30
0.000125,0.7033678,24.28131,23.58206,1550,30
0.0001275,0.7042528,24.28131,23.58206,1550,30
0.00013,0.7042528,24.28131,23.58206,1550,30
